Sentence,Neutral (N) / Hostile (H)
"masoom mulzim ko phansi per charhana eik zalimana iqdaam hai, is amal se insaaf ki haar hui hai",H
betay ne bazurg baap ko biwi ke kehney per ghar se nikal diya,H
Islam mein ghair muslim logon ke sath imteyazi salook ka hukam hai,H
"in ganjon ne mulk loota hai, khuda ki lanat ho in per",H
"bajwa ne puri indian army ko danda diya hua hai, jb tak wo hein india hamla kernay ka soch bhi nahi sakta",H
corrupt legue patwaiyon aur gullu butt jesey logon ke zor per chal rahi hai,H
"safdar sahab ye aap ke chacha susar ki hakumat nahi jahan aap khule aam badmashi kertay phiren, apko qanoon ko hath mein lenay ki ijazat nahi di jaye gi",H
captain safdar ki police waley se danda cheen ker us per hamley ki koshish,H
ager idaarey shahbaz sharif ko nahi pakartey to is mulk mein daaka aur chori ko jaiz qarar de dena chahiye,H
N-Legue waley judge ko blackmail ker k faisla apney haq mein karaney ke mahir hein,H
"swat mein school band honay per malala ne puri dunya mein pakistan ke khilaf bakwas ki thi, 2 haftey se kashmir mein school band hein to ab kahan mar gai hai wo?",H
"kuch news channel meri kirdar kashi ker rahy hein, mein unke khilaf qanooni karwai karun ga",H
"har saal aaney waley selaab ko rokney ke liye aaj tak koi karwai nahi ki gai, pichli hakumton ki tawajjah sirf showbazi aur lootmaar per rahi",H
"showbaz sharif har toofani barish ke baad long boot pehan ker aisey bahir nikal aata tha, jesay barsaat mein mendak nikaltey hein",H
ahsan iqbal sahab aap per 22 crore awam ki bhook peyas aur bebasi ka qarz hai,H
ager bharat apney hathyar pehly istemaal ker bhi le to pakistan ke paas itney hathyaar bach jayen gey ke woh bharat ko eik nahi balkeh kai bar neest o nabood ker dey,H
india ki buzdilli is baat se pata chalti hai ke donon mulkon ke halaat kasheeda hon to wo pakistan se cricket khelna chor deta hai,H
"Ishaq Dar eik bhagora hai, adaalton ka samna kernay ki bajaye mulk se farar ho gaya hai",H
passsport office mein aam shehriyon ka dakhilah band ker diya gaya,H
sabiq bharti wazeer e kharja shushma swaraj ab is dunya mein nahi rahen,N
tax wapis na liye gaye to hakumat ke khilaf agley mahiney se ehtijaj ka silsila purey mulk mein shuru kiya jaye ga,H
ghareelo jhagrey se tung aa ker korangi ke rehaishi ne apni biwi ko goli maar di,H
ager agley mahiney tak meray paisey wapis nah kiye to apney nuqsan ka tu khud zimmeydaar hoga,H
"kutia tumhen ronay ki zrurat nahi hai, ghalat kam ka nateejah yehi hona tha",H
tumhari sabiqah girlfriend eik jisam farosh thi,H
tumhari raye ki koi ehmiyat nahi hai kyun ke tum eik gashti ho,H
"eik rishtah sirf 2 logon ke darmiyan hota hai, lekin kuch kutton ko ye bhi gin'na nahi aata",H
"tumhara rishtah khatam hua hai, zindagi nahi. Rona dhona band kro kutia",H
"mujhe maaf kerna ager apko mera kutia kehna bura laga, mujhe laga tha apko pehly hi pata hogi ye bat",H
eik siyah faam asian ke liye america eik jannat hai,H
mujhe us kutiya se nafrat hai jo bilawajah behas kerti rehti hai,H
larkana ke nojawan ne buland europi choti ser ker li aur kashmir bany ga pakistan ke naarey lagaye,N
punjab hakumat ne muft dawaiyan aur test cheen ker awam ko dengue ke hawaley ker diya hai,H
qandeel baloch ke walidein ne qatal case mein namzad beton ko maaf ker diya,N
"saffaak moodi ko aalmi satah per tough time denay ka faisla, america aamad per bharpoor ehtijaj kiya jaye ga",H
modi hakumat ke ghair qanooni faislon ki wajah se 1 crore kashmiriyon ki zindagi khatrey mein hai,H
"laanat ho modi tum per. Tum jo dhoti pehantey ho, usi se latka ker tumhen pakistan mein ghumaon ga",H
tumharey jesi nalaiq aulaad honay se behter hota ke meri aulaad hi nah hoti,H
imran khan ke tehalkah khez beyaan ne bharat mein saf e matam bicha di,H
"bharat maqbooza kashmir mein qatal e aam ke mansoobey bana raha hai, halaat se tung kashmiri gharon se niklen gey to bharti fouj goliyan chalaye gi",H
maqbooza kashmir mein insani almiyah janam le raha hai. aalami baradari notice le,H
bharat ne maqbooza kashmir ke lakhon musalmaanon ke bunyaadi haqooq sulb ker ke unhen har qisam ki azadiyon se mehroom ker diya hai,H
maryam bibi ne sari museebat apney ser mol li hai aur sarey khandaan ki siyasat ko tabhah ker diya hai,H
karachi ki tabahi ke zimmeydaar ab dosron per ilzaam laga rahey hein,H
nah islam jhoot ki ijazat deta hai aur nah hi qanoon,N
maryam nawaz ki peeshi ke doran captain retired safdar ne police walon se jhagra kiya aur dhakkey diye,H
taylor swift ne canda mein muqeem pakistani talibah ko khateer raqam bhijwa ker uska taleemi silsilah khatam honay se bacha liya,N
judge arshad malik ne tamam judges ke ser sharam se jhuka diye hein,H
ager bharat ne kabhi pakistan se dosti kerna hoti to hamari kashmiri maon behnon ke ser se dopatta na khenchta,H
bharat ki taraf se ye aman ki aasha wali bat sab bakwas hai,H
malala bhartiyon ke sath holi mana sakti hai magar kashmir ke iye awaz nikaltey huwey usey mout perti hai,H
"jesi teri shakal hai, tujhe koi apna kutta nah de, beti ka rishtah kon de ga",H
"bharat hut dharmi per qaim hai, kashmir mein khoon kharabah nazar aa raha hai",H
afghan dehshatgard kashmir mein dakhil ho gaye hein aur bari karwai ker saktey hein,H
"bharat moqbooza kashmir mein nasal kushi se tawajjuh hatana chahta hai, isiliay aisi jhooti khabren phela raha hai",H
aalami baradari ko khabardar kerta hun k bharat tawajjah hataney k liye maqbooza kashmir mein jhoota operation ker sakta hai,H
"parliament aur aaen per ander ke log hi hamlah ker rahy hein, sadar ne bhi 18 wein tarmeem ki khilaf warzi ki",H
"aur logon se apna moun na phero aur zameen per akar ker na chalo, beshak Allah kisi takabbur kernay waley ko pasand nahi kerta",N
dunya mein aqalmand tareen insaan woh hai jis ne Allah ko raazi ker liya aur ahmeq tareen insaan woh hai jo raazi nah ker saka,N
"bilawajah bhutto pehly bolna seekhey aur phir tanqeed kary, kaaghaz se parh ke taqreeren kernay waley ko kiya pata mulk mein kia chal raha hai",H
beghairat to bohut dekhay hein lekin altaf hussain ka eik apna hi muqam hai,H
agar insaan ki pehchaan uske doston se hoti hai tou main is duniya ka sab se bara beghairat insaan hun,H
"punjab hakumat ka lahore se soteili maa jesa salook barqarar, shehar meini 93 jaari taraqqiyati schemoun per kam band",H
selected wazeer e azam ne mulk ko muashi aur sifarati maidan mein tabah ker diya,H
"kashmiriyon ke khilaf sazishon ko nakaam banayen gey, modi aankhen cheen sakta hai, khuwab nahi",H
"zillat bharti wazeer e azam narendra modi ka muqaddar ban gai, paris mein bhi modi dehshat gard ke naaray lag gaye",H
UNESCO headquarter ke bahir bharti muzalim ke khilaf kashmiriyon aur sikhon ka ehtijaj,H
amreeki akhbar new york times ne kashmir mein bharti muzalim ka bhanda phor diya,H
"hazaron kashmiriyon ko lucknow, agra aur banaras ki jailon mein muntaqil ker diya gaya hai",H
"kashmiriyon ki awaz ko dabaney ki ghanaoni koshish, bharat ne waadi mein curfew mazeed sakht ker diya. kashmiriyon ko namaz e jumma bhi adaa na kernay di gayi",H
kashmir mein curfew k baes adviyaat aur zarurat ki ashyaa ka bohraan sangeen ho gaya,H
"trump ne ilzam lagaya hai ke china ne amreeka se paisa kamaya aur churaya, hum china se tijaarat mein arbon dollar zaya ker chukey hein",H
"hamein china se tijaarat ki zrurat nahi, amreeki companiyon ko hukam deta hun k china ka mutabadil dhondein ",N
"dunya mein 2 hi log wailey hein, novels parhney wali larki aur dosra hamza ali abbasi ki love story ka full paragraph parhney wala",N
jung musallat ki gayi to kashmir mein nahi delhi mein khatam hogi,H
"maqbooza kashmir mein qabrustan jesi khamoshi hai, chup ka aatish fishan phatney ke qareeb hai",H
aey hamarey rab hamein dunya mein naiki aur akhirat mein bhi naiki dey aur hamein dozakh ke azab se bacha le,N
pakistan peoples party ke chairman bilawal bhutto zardari ne bharti wazeer e azam se mukhatib hotey huay kaha hai keh suno modi! tum leader nahi qaatil ho,H
"bilawal bhutto zardari ne kaha ke modi! tum gujrat ke qaatil ho aur ab kashmir ke qaatil ban gaye ho, kashmir se curfew uthao aur qaidiyon ko reha karo",H
"modi sarkar ne maqbooza kashmir mein zulm ki inteha ker di hai, gujrat ke qasai se kehta hun ke kashmiriyon ko jitni taaqat se dabao gey, woh tumharey khilaf os se zayada taaqat se kharey hongey",H
"wazeer e azam imran khan sahab! thori sharam hoti hai, nah ghurbat kam hui hai nah hi berozgaari",H
LOC per bharti jarhiyat ki wajah se hamarey jawaan shaheed ho rahy hein,H
paris mein modi ka murdah baad ke naaron se istaqbaal,H
"maqbooza kashmir mein qaabiz bharti fouj ne raastey band ker diye, pallet gun aur aansoo gas fire ki ja rahi hai",H
imran khan ka kehna hai ke maazi ki badintezami ne karachi ka rewayati husan tabah kiya,H
"bharat se bohut baten ker lein mazeed dialogue ka koi faida nahi, modi fascist aur inteha pasand hai, us se baat kerna hi fazul hai",H
"khadshah hai ke maqbooza kashmir mein musalmanon ki nasal kashi ki jaye gi, 2 atomi taaqaten aamney samney hongi to kuch bhi ho sakta hai",H
bharti media daawa ker raha hai ke janoobi bharat mein bhi kuch dehshatgard daakhil huwey hein aur unhen pakistan ki support haasil hai,H
bharat insani haqooq ki khilaf warzi se tawajjuh hataaney ke liye naam nehaad operation karey ga,H
bharti media ka jhoota daawa hai ke afghanistan se dehshatgard maqbooza waadi mein daakhil ho gaye,H
10 saal tak awam ko 52 arab rupey ishteharaat pe laga ker bewakoof bananey wala naam nehaad khadim e aala bhi ye karnama seranjaam nahi de saka aur naha unki hakumat,H
"pichli naam nehaad hakumat ke sirf 2 shoq thay, eik pull aur sarak aur dosri corruption ki tharak, in 2 ke elawa unke koi shoq nahi thay",H
noon legue aur peoples party ne misaq e jamhuriat ki chatri taley loot maar ka bazar garam kiya huwa tha,H
"wazeer e azam apney wafaaqi wazeer ko lagaam daalen, wo eik unguided missile hein, unke sath chalna mushkil hai",H
jis ne asar ki namaz tark ki us ki rozi se barkat khatam ker di jati hai,N
"is tarah ke nojawan jahan bhi nazar ayen to inko pakar ker kashmir bheja jaye, kuttey ki mout mernay se behter hai shahadat ki mout to maren gey",H
karachi gandagi ke lehaz se dunya ka panchawan ganda tareen shehar bn gaya hai aur siyasatdaan karachi ko lawaaris chor ker point scoring mein lagey huwey hein,H
"maqbooza kashmir mein eid ke moqey per pakistan ka parcham lehra diya gaya, jis per bharti fouj ne hajoom per laathi charge kiya",H
"log piyar ke liye hotey hein aur chezen istemaal ke liye, bat tab bigarti hai jb cheezon se piyar kiya jaye aur logon ko istemaal kiya jaye",N
halaal cheezon mein Allah ko sab se zayada nafrat talaaq se hai,N
Islam ne sab se pehly aurton ko jaidad mein waraasat ka haq diya,N
"main apney paisy jesay marzi kharch krun kutia, tum apney kam se kam rakho",H
hum jins paraston ne aaj oonchi awaz mein gaaney laga ker ajeeb chutiyapa shuru kiya huwa hai,H
kuttey ka bacha mera mobile cheen ker le gaya,H
"mrs. khan jesi aurton ki wajah se hum abi tak eik achi society nahi bana sakey, jab aurat hi aisi ho to mardon se kia gila",H
"tum eik intehai nashukri aurat ho, tumhen jo marzi laa do tumharey nakhrey hi khatam nahi hotey",H
"main akser socha kerta tha ke wo kesy musalmaan hongey jinhon ne us waqt yazeed ka sath diya hoga, aaj arab ke badshahon ko dekh ke yakeen aa gaya ke us waqt bhi aisy hi mufaad parast log hongey",H
"ager jooti latkaney se apki gaari nuqsan ya haadsey se bach sakti hai to apki zindagi gaari se zayada qeemti hai, eik jooti galey mein bhi latka lein",H
nazi modi ke ahmeqaana iqdamaat bharat ko le doobein gey,H
hakumat opposition ko deewar se laganey ki koshish ker rahi hai,H
kashmir se madad ki pukar per hakumat ne mujrimaana khamoshi ikhteyar ki hui hai,H
bharat aag se khel raha hai jo uske secularism ko jala ker rakh ker de gi,H
qaabiz bharti afwaaj ne wehshiyaana karrawaiyon ki inteha ker di,H
mazi mein hukmaranon ne awam ko behter elaaj se mehroom rakha,H
"karachi se kachra na uthaya ja saka, jagah jagah kachrey ke dhair aur ganda pani khara hai",H
"shehar mein jagah jagah ghalazat ke baes shehri wabai bemariyon ka shiukar hony lagey, shadeed gandagi ki wajah se machron aur makhiyon ki yalghar hai",H
pakistan per hamla huwa to bharat ka naqshah badal dein gey,H
"joh kashmir ka ghaddar hoga, modi ka yar hoga",H
kiya bat hai kuttey? aaj bara dukhi lag raha hai,H
ye afsurdah ker denay wali tatti kisi aur ko ja ke suna,H
tumhen tawaifon wali harkaten kernay ki zrurat nahi hai,H
eik achi larki ka dost hona eik randi ke dost honay se bohut behter hai,H
Johnny tum ne mujhe apney kuttey ki tarah treak kertay ho,H
tum sab apni bakwas band karo aur meri baat ghor se suno,H
pakistan ke match jeetnay per sab ne jashan manaya aur nojawan bhangrey daalney lagey,N
tum mujhe chand ki tarah khoobsurat lagti ho,N
6 september pakistan mein youm e difa ke tour per manaya jata hai,N
punjab hakumat ke iqdamaat ki wajah se soobey se dengue ka khatma kiya ja chuka hai,N
tum khud woh tabdeeli bano jo tum dunya mein dekhna chahty ho,N
mustaqbil unhen ka acha hota hai jo khawabon ke poora honay per yakeen rakhtey hein aur uske liye mehnat se nahi ghabratey,N
taliban aur NATO ke darmiyan muzakraat ka agla dour jummey se shuru hoga,N
raat ko jaldi sona aur subah jaldi uthna sehatmand zindagi ke liye bohut zaruri hai,N
jis waqt accident huwa woh sakht nashey ki halat mein gaari chala raha tha ,H
sushil kumar shinde ne kaha hai ke hindu dehshatgardon ko RSS ke camps mein training di ja rahi hai,H
indian media per BJP propaganda wali khabren chalai jati hein,H
"arbiyon aur unke leaders ke liye zindagi ka matlab hai khawateen, nasha aur eyashi kerna hai",H
wazeer e azam ne governor house nathia gali awam ke liye khol diya,N
"syed ali gillani ka kehna hai ke bharat kashmir nahi, kashmir ki sarzameen chahtah hai",H
syed ali gillani ne kaha hai ke bharti qabzey se mukammal azadi tak  jaddojehad jari rakhna hogi,H
firdos aashiq awan ne bilawal ko karara jawab detey huay pucha hai ke abbu bachao muham se kashmiriyon ki jaddojehad ka kiya wasta?,H
pakistan freelance market mein tezi se taraqqi kernay wala dunya ka chohta mulk qarar,N
"hakumati iqdamaat se auto industry buri tarah mutaasir hui hai, jis ki wajah se gariyon ki farokht mein 50% kami ho gai hai",H
bharti rawayye se paida halaat aman aur security ke liye bara khatra hein,H
shumali korea ne 2 short range missilon ka tajarbah kiya,N
zamanat deta hun nawaz sharif aur asif zardari loota huwa maal wapis ker dein to unhen chor dein gey,H
karachi ke khilariiyon ko nazar andaz kernay waley selectors ki eliyat per sawaliyah nishan hai,H
atif zaman ne 66 se zaid afraad ko 1 arab 9 crore 54 lakh rupey ka choona lagaya,H
rahul gandhi ka kehna hai ke srinagar airport per hamarey sath badsalooki ki gayi aur mara peeta gaya,H
bharat ne kashmir mein mustaqil lockdown ker rakha hai aur ghair sanjeeda rawayya dikha raha hai,H
karachi ko hakumati na-ehli ne insani almiye ke dahaney per pohuncha diya hai,H
khaleeji mulk ki janib se narendra modi ko aala tareen civil award de ker insani haqooq ko iqtesadi fawaid ke liye qurban ker diya gaya,H
tum aapas mein bugz aur dushmani na rakho aur na hi hasad karo,N
islam mein musalmanon per sharab peena haram hai,N
"khabardar! gunahon per khush nah hona, kyun ke gunahon per khush hona gunah kernay se zayda bara gunah hai",N
"bilawal apki jamhooriyat qoum ka maal urrao, bahir pohunchao hai",H
"sindh mein apke 11 saalah corrupt raaj ne ghareeb awam ke haqooq cheen liye hein, karachi aaj kachra kundi ban chuna hai",H
aap ki hakumat ki karkardagi ki qeemat sindh ke masoom bachey apni janen de ker adaa ker rahey hein,H
maqbooza kashmir mein bharti fouj ki shelling se 2 bachon ki maa shaheed ho gayi,H
molana fazal ur rehman ka kehna hai k hum ager angrez se nahi darey tou wazeer e dakhilah kis khait ki mooli hein jo aaj hamen darra aur dhamka rahey hein,H
"kashmir mein is waqt insani haqooq buri tarah pamaal ho rahey hein, lekin aqwam e muttahida ki insani haqooq ki tanzeemon ki khamoshi eik sawaliya nishan hai",H
"UAE ki taraf se hazaron musalmanon ke qaatil ko award denay se croron musalmanon ki dil azari hui hai, hum mutaalbah kertay hein ke modi se award wapis liya jaye",H
sheikh rasheed ne kaha hai ke bharat ne hamlah kiya to barresagheer ka naqshah tabdeel ho jaye ga,H
"pakistan ne phuljhariyan aur mirch masaley shab e barat per phorney ke liye nahi rakhey, bharat ko pata chal jaye ga",H
sheikh rasheed ne bharat ko lalkaartey huwey kaha ke azad kashmir per hamla ailaan e jung tasawwur kiya jaye ga aur uska bharpoor jawab dein gey,H
bharat ne hamari taraf ungali uthai to hath torr dein gey,H
"aman aur jung donon ke liye tayar hein, jung apney zor e bazu per larren gey aur bharat ko maza chakha dein gey",H
pakistan per hamla huwa to bharat mein neya mulk baney ga,H
"wazeer e aala se hath jorr ker kehta hun eik bar shehar saaf ker dein, thora sa kam ker lein ab",H
tum kahan ho kutia? main kb se tumhara intezar ker raha hun itni shadeed garmi mein,H
dunya ki bari jamhooriyat kehlaney waley bharat ne sab barey kashmiri leader pakar rakhey hein,H
modi aur trump ne planning se hamarey wazeer e azam ko trap kiya,H
"srinagar ko bharat ka qabrustan na banaya to bharat larrai lahore, sialkot aur muzaffarabad tak le aye ga",H
kashmiri pakistan ki taraf lekin pakistani leaders amreeka ki taraf dekh rahey hein,H
"aqwam e muttahida kashmir ke maamley per goongi, behri aur andhi ho jati hai",H
bilawal ko samajhna hoga ke loot maar per saza hoti hai aur zayada loot maar per zayada saza hoti hai,H
"bhaar mein jaye aisi reyasat jo apney bazurg shehriyon ki kafalat nah ker sakey, yahan to hakumati shakhsiyat zakaat ka paisa tak harap ker jati hein",H
hukmaranon ko sharam kerni chahiye aur ghareeb bazurgon ki kafalat ka munasib bandobast kerna chahiye,H
apni guftagu ke doraan lehja naram rakho,N
tum mein se aqalmand wo hai jo ghussey ko qaabu mein rakhta hai,N
"musalmano! meyana rawi ikhteyar karo, kyun ke jis kam mein meyana rawi hoti hai wo kam sanwar jata hai aur jis kam mein meyana rawi nahi hoti wo bigar jata hai",N
tumhari gandi harkaten sab ko bata dein to tum moun chupatey phiro gey,H
dosron se larrai kerna to tumharey khoon mein shamil hai,H
ye kutia kisi ki wafadaar nahi ho sakti,H
us se zarur maafi maango jisey tum chahtey ho aur usey mat choro jo tumhen chahta hai,N
qaabiz bharti afwaaj ne mazloom kashmiriyon ko namaz e jumma bhi adaa nah kernay di,H
tumhari nahoosat ki wajah se hum match haar gaye hein ,H
woh ghar jis mein quran kareem parha jata hai woh asmaan walon ko aisey dikhai deta hai jesa ke zameen walon ko taarey dikhai detay hein,N
"takabbur aur gharoor nehayat buri cheez hai, kyun ke sab se pehly shaitan takabbur hi se gumrah huwa",N
ager tumhen kiss kertay huay uski aakhen khuli hui hein to us kutiya per yakeen na kerna,H
"wazeer e azam imran khan ne jo waada kiya us per u-turn liya, eik bhi bat per woh qaim nahi rahy",H
"imran khan ne jo naara lagaya, woh jhoot nikla hai",H
siyasatdaan aapas mein eik dosrey per kachra phenkney ki bajaye shehar ka kachra saaf kren to awam mushkilaat se bach jaye,H
"mehengai ne awam ke khanon se mithaas bhi cheen li, cheeni ki qeemat mein sarkari satah per 15 rupey kilo ka izafa",H
bilawal bhutto zardari ka kehna hai ke asif zardari ko qatal kernay ki koshish ki ja rahi hai,H
RSS ka nazarya musalmanon se nafrat per mabni hai,H
"ahsan iqbal ki koi apney ghar mein bhi nahi sunta, unka kashmir wesay bhi kot lakhpat mein hai",H
ahsan iqbal mein ager itni ghairat hai to wo apna aqamah wapis ker dein,H
"aam torney per mamooli jhagrah huhwa, jis per elaqey ke ba-aser wadeirey ne bhoorey walid aur uske 2 beton ko khoon mein nehla diya",H
billawal sahab bta dein ke ayyan ali kin ka paisa le ker ja rahi theen?,H
jab aap jesay aham tareen wazeer aisi sasti harkaten kren gey aur ssalon tak karen gey to watan ke waqar ko nuqsan to hoga,H
"talal chaudhry ki nawaz sharif ke sahibzadey se london ke restaurant mein mulakat, maryam nawaz ka pegham pohunchaya",N
bilawal bilawajah bhutto ki auqaat wazeer e azam imran ahmed khan niazi ke samney kuch bhi nahi,H
mehakmah mosmiyat ne karachi mein phir garaj chamak ke sath barish ka alert jari ker diya,N
bharat israel ke sath mil ker wohi ker raha hai jo israel ne falsteen ke sath kiya,H
"shahbaz sharif ne lahore orange train banai, jo apki nalaiqi ki wajah se takheer ka shikar hai",H
aap peshawar mein 1 kharab ke khaddey khod ker bhi 1 metro nah bana sakey,H
yeh hakumaat intehai khatarnak aur naqabil e qabool hai,H
ab hakumat ko mazeed waqt dena is mulk aur qoum ke sath ziyadati hogi,H
chief election commissioner ke inkaar ke baad sadar e mumlikat ke waqar ki kia haisiyat reh jati hai,H
"asad qaiser, parvez elahi, khusro bakhtiar aur deigar hakumati shakhsiyaat ko kyun nahi pakra ja raha hai",N
hum aman ke liye kharey hein aur bharat dunya mein be-naqab ho raha hai,H
yeh nahi ho sakta ke kashmir mein khoon ki nadiyan bahen aur hum khamosh rahen,H
hindustan mein modi ka badtareen martial law nafiz hai,H
aaj hindustan ke liberalism se pardah chaak ho raha hai,H
"fazal ur rehman ne eik bar bhi nahi kaha ke kashmir azad na huwa to itney log layen gey, balkey bar bar kaha ke wazeer e azam ne isteefa nah diya to islamabad log layen gey",H
molana fazal ur rehman ki kashmir committee ne 17 crore kharch kiye aur kam takey ka nahi kiya,H
molana fazal ur rehman ke liye islam nahi islamabad khaas hai,H
orange line train mansoobey per kam december mein mukammal ho jaye ga,N
karachi se intekhabaat jeetney walon aur subai hakumat bananey walon ki tarjeeh karachi ke masail ka hal nahi,H
peoples party kashmiriyon per bharat ke insaniyat soz muzalim ke khilaf sarapa ehtijaj hai,H
Qasoor mein masoom bachiyon ke sath ziyadati ke waqeat barh rahey hein,H
RSS aur naziyon ki ideology nasli taasub per mabni hai,H
nasli taasub per mabni soch ne dunya mein bari tabahi machai hai,H
bosnia mein musalmanon ka qatal e aam huwa to shuru mein koi sath nahi tha,H
"80 lakh kashmiri curfew mein jee rahey hein, sari dunya ko ye soortehaal dekhni chahiye",H
tum eik mard nahi ho ager tum har aurat se badtameezi kertay ho,H
modi ne takabbur mein bari ghalti ker di jis se kashmiriyon ko azad honay ka tareekhi moqa mil gaya,H
main zimmeydaari leta hun ke kashmir ke masley ko dunya bhar mein main uthaon ga,N
hamen itlaa mil chuki thi ke bharat azad kashmir mein hamlah kerna chahtah tha,H
bharat ne apney aeen ki khilaf warzi ki aur secularism bhi khatam ker diya,H
bharat eik hi koshish mein laga huwa hai k kisi tarah pakistan ko blacklist kiya jaye aur pakistan dewaaliyah ho jaye,H
"hum asif ali zardari ki sehat ke mamley per adaalat jayen gey, unhen kuch huwa to namzad log qasoorwaar hun gey",H
"current lagney se 3 nojawanon ki halakat per K-Electric ke maalik, CEO aur chairman mafroor qarar",H
"imran sahab jhootey ilzamaat lganey per khud jail janey waley hein, hamen NRO deney ki baten na karen",H
"zardari aur nawaz sharif jail mein hein, ab corruption kon ker raha hai? ab paisa kahan ja raha hai?",H
"imran sahab puri qoum ko pata hai ke aap bore h rahey hein, apki boriyat ki wajah se mulk ki taraqqi aadhi aur mehengai teen guna ho gayi hai",H
"eik saal mein 7600 arab ke tareekhi qarzey, eik arab ke peshawar metro ke khaddey aur eik arab darakhton mein kharbon ki corruption ka hisab kon de ga",H
"imran sahab apki nalaiqi, na-ehli aur jhoot ne mulk aur idaarey tabah ker diye hein",H
apki ghair sanjeedgi ki wajah se tax revenue mein 600 arab ka khasara hai,H
teri maa ki siri,H
"bilawal sahab NAB tafteesh karey ga to asaasey niklen gey, NAB zayada tafteesh karey ga to zayada asaasey niklen gey",H
kainaat mein koi kisi ka itni shiddat se intezar nahi kerta jitna Allah apney bandey ki tobah ka intezar kerta hai,N
badqismati se hum ne deen un logon ke hath mein chor diya hai jinhen iski samajh hi nahi,H
"awam apni hifazat khud karey, police ke jawaan pait se hein",H
"karachi ke kachrey per siyasat, mayor wasim akhtar ka bara u-turn, mustafa kamal ko eik din baad hi post se farigh ker diya",H
"mustafa kamal badtameez insan hein, woh is ohdey ke qaabil nahi, aainda ehkamat tak muattal rahen gey",H
"hukmaran corruption ker rahey hein, isliye shehar se kachra nahi uth raha",H
amreeki senator ne mutaalbah kiya hai ke bharat kashmir se apni fouj bahir nikaley aur shehriyon ko azadi e izhar ki ijazat dey,N
bartanvi akhbar ne waadi ki soortehaal ko shehriyon ke liye intehai khofnaak qarar de diya,H
independent akhbar ne maqbooza waadi ko sab se bara millitary zone qarar diya hai,H
maqbooza kashmir ki muqami intezamiyah ka death certificate jaari kernay se bhi inkaar,H
"modi sarkar ki musalmaan dushmani ki eik aur misaal, nayi delhi ke feroz shah kotla stadium ka naam tabdeel ker diya gaya",H
nawaz sharif ki siyasi mukhalfat per elaaj kerwaney se inkaar kiya ja raha hai,H
dhamal chchaudhry sorry talal chaudhry maryam nawaz ka eham pegham le ker london mein muqeem hein,H
"dushman ko jb tak thapper nahi maaro gey, usey samajh nahi aye gi.. sb se pehley air space band ki jaye, eik jahaz na guzernay diya jaye bharat ka",H
pakistan bharat ki air space aur afghanistan ke tamam trade routes band kernay ja raha hai,H
agr pakistan kashmiriyon ki madad kerna chahta hai to sab se pehley apni air space india ke liye band ker de,H
bharat wehshiyana barbariyat ki khabren dunya tak pohunchnein se rok raha hai,H
nateeja jo bhi nikley lekin bharat ke liye air space foran band honi chahiye,H
kashmir ka masla hal hony tak bharat se tamam taluqaat khatam ker denay chahiyen,H
"air space band kernay se bharat ko kharbon ka nuqsan hoga, kyun na hum kashmir mein uski harkaton per usey saza dein",H
air route kernay se dushman ko sakht pegham jaye ga ke hum jung ke liye bilkul tayyar hein,H
india ke sath do tarfah tijarat bilkul band ker di jaye,H
bharat ke liye intehai sharam ki bat hai ke modi ne france janey ki liye pakistan ki fizai hadood istemaal ki,H
hamza ali abbasi aur naimal khawar donon nikah per bohut pyarey lag rahey thy,N
"amir khan ka bohut shuker guzaar hun, unhon ne kashmir ke liye awaz buland ki",N
main ne azad kashmir ke logon ko azadi se ghoomtey dekha,N
"maqbooza kashmir mein halaat  achey nahi, aurton aur bachon ko qatal kiya ja raha hai",H
mujh se jitna huwa kashmiriyon ke liye awaz uthaon ga,N
"iski shakal dekho jaley huwey bhuttey jesi lag rahi hai, pakka biwi se larr ke aaya hai",H
"oh bhai itna hawas ka pujari bana huwa hai aaj kal, biwi se sex nahi mil raha kia?",H
"khuda ne isey moun kyun diya hai, aur de diya hai to ye kholti kyun hai",H
khuda jab aqal baant raha tha to tu kidhar gaya hua tha? tujhe kisi bat ki samajh hi nai aati,H
kashmir ke logon ko takleef mein dekh ker bohut dukh huwa,H
karachi ke taraqqiyati mansubon per tezi se kam jaari hai,N
nikah naamey mein lafz kunwari ki jagah ghair shadi shudah istemaal kernay ka hukam,N
karachi ke liye is saal 42.5 kharab rupey ke funds rakhey hein,N
solid waste managment board karachi mein buri tarah nakaam hota huwa nazar aa raha hai,H
governor sindh imran ismael ka kehna hai ke karachi ki soortehaal intehai afsosnaak hai,H
"mustafa kamal to bhag gaye thy, unhen laya gaya hai",H
"mustafa kamal karachi ke masail ke liye mukhlis nahi thy, unki niyat kharab thi",H
mustafa kamal ko chahiye tha apna plan share kartey magar unhon ne siyasat shuru ker di,H
ho sakta hai mustafa kamal maafi maang lein to unhen bahaal kiya ja sakta hai,H
mayor karachi ne mujhe isliye muattal kiya keh woh apni corruption bachana chahtey hein,H
bharti fouj ki LOC per shehri abaadi per firing,H
bharti fouj ki firing se zakhmi honay walon ko hospital muntaqil ker diya gaya hai,N
bharti fouj ne masoom shehri abaadi ko jaan boojh ker nishana banaya,H
mustafa kamal ko ikhteyaraat se tajawuz aur badtameezi per muattal kiya,H
himesh ne railway station per gaaney wali ghareeb khatoon ki zindagi badal di,N
